iter	Logloss
0	0.5081607467
1	0.4300901155
2	0.3591981243
3	0.3413282106
4	0.3260542139
5	0.3160625704
6	0.3099414295
7	0.3075816257
8	0.3038673652
9	0.2993415638
10	0.2960380477
11	0.2933583669
12	0.2848842439
13	0.2805011466
14	0.2756275474
15	0.2737225473
16	0.2727918847
17	0.2682964948
18	0.2629344736
19	0.2577993411
20	0.2558511276
21	0.2545293967
22	0.2512980179
23	0.2510609569
24	0.2497079206
25	0.2465638458
26	0.2445553983
27	0.2440592489
28	0.2382595655
29	0.2349292888
30	0.2317650251
31	0.2305739729
32	0.2257216992
33	0.2242547834
34	0.2213089253
35	0.2177398143
36	0.2152431219
37	0.2125368033
38	0.2096782968
39	0.2069005134
40	0.203993283
41	0.200737722
42	0.2006597865
43	0.1985593672
44	0.1972683113
45	0.1964961086
46	0.1944806454
47	0.1932724286
48	0.1905487896
49	0.1905359381
50	0.1895645772
51	0.1894897011
52	0.1875307695
53	0.1866612564
54	0.1846687368
55	0.1831329
56	0.1827631106
57	0.1798418844
58	0.1782575199
59	0.1766856871
60	0.1752702148
61	0.1732406052
62	0.1718862077
63	0.1691844107
64	0.1683053791
65	0.1661582074
66	0.1648487414
67	0.1636941341
68	0.1594980508
69	0.158545858
70	0.1572283229
71	0.155461391
72	0.1543635925
73	0.1517873274
74	0.1496427745
75	0.1484117992
76	0.1460313087
77	0.1456972475
78	0.1453785042
79	0.1445353407
80	0.1429246752
81	0.1407921122
82	0.139708071
83	0.1383586836
84	0.1365576812
85	0.1349094153
86	0.13392792
87	0.1323632295
88	0.1308488652
89	0.1290633999
90	0.1280490292
91	0.1264601301
92	0.1248135793
93	0.1238099235
94	0.1227363415
95	0.122300495
96	0.1203043024
97	0.1191025081
98	0.1181991101
99	0.1171157584
