iter	Logloss
0	0.5003991126
1	0.421607732
2	0.3643362315
3	0.3385948319
4	0.3267337165
5	0.3172165462
6	0.3141535324
7	0.3096831002
8	0.3073891356
9	0.3053829271
10	0.3019359055
11	0.2964577207
12	0.2889093047
13	0.2877047881
14	0.2814576609
15	0.2770605363
16	0.2723842364
17	0.2620081828
18	0.2595018541
19	0.2547892352
20	0.2533516892
21	0.2518549733
22	0.2476310433
23	0.2462011744
24	0.2450819579
25	0.244737171
26	0.2446144781
27	0.2417699947
28	0.2393109161
29	0.2392776208
30	0.2373641563
31	0.2349431162
32	0.2306214849
33	0.2289035645
34	0.2262316158
35	0.2216466637
36	0.2206553042
37	0.219214362
38	0.2164051333
39	0.2154380181
40	0.2118621449
41	0.2101858335
42	0.207439353
43	0.2057684506
44	0.2042579511
45	0.2020946974
46	0.1983010996
47	0.1950187305
48	0.1927042196
49	0.1912587976
50	0.1886429577
51	0.1859937209
52	0.1842592254
53	0.183971703
54	0.1838982769
55	0.1825709846
56	0.179702222
57	0.1784645057
58	0.1772185548
59	0.1753981135
60	0.1730105629
61	0.170599204
62	0.1685961704
63	0.1656568922
64	0.1642052267
65	0.1639828373
66	0.1635220188
67	0.1634905808
68	0.1612992889
69	0.1582874827
70	0.1561961367
71	0.1560739083
72	0.1540867747
73	0.1528047178
74	0.1505978776
75	0.1483935151
76	0.1470970536
77	0.1454874034
78	0.1454418837
79	0.1448976796
80	0.1442888237
81	0.1434369321
82	0.1422111289
83	0.1407192137
84	0.1384220598
85	0.1366168384
86	0.1340820914
87	0.1322085036
88	0.13033998
89	0.1292089857
90	0.1289791637
91	0.1278071103
92	0.1261057781
93	0.1248538815
94	0.1234995553
95	0.1217913229
96	0.1214260909
97	0.1196452539
98	0.1184401093
99	0.1175393015
