iter	Logloss
0	0.5087685418
1	0.4439421726
2	0.3766537002
3	0.3562889511
4	0.3473139871
5	0.3345716176
6	0.3249237261
7	0.3167969735
8	0.3038175158
9	0.3032889603
10	0.3019303454
11	0.294453956
12	0.2912388382
13	0.2841498463
14	0.2799564515
15	0.2755665764
16	0.2747368178
17	0.2735691047
18	0.2701778917
19	0.2661189797
20	0.2642862787
21	0.2640465917
22	0.2622799304
23	0.2583810186
24	0.2572458548
25	0.253945573
26	0.2496661892
27	0.2475389257
28	0.2451125515
29	0.244367172
30	0.2428635007
31	0.2394820374
32	0.2350826341
33	0.2323835732
34	0.2282943808
35	0.2261765567
36	0.225113222
37	0.2230555535
38	0.2196909724
39	0.2174745479
40	0.2148316158
41	0.2136779475
42	0.2120155114
43	0.2100853893
44	0.2076337801
45	0.2057296808
46	0.2044781206
47	0.2037083317
48	0.2026332396
49	0.1996448901
50	0.1978166574
51	0.1963413284
52	0.1939797482
53	0.1904885281
54	0.1904779678
55	0.1888755124
56	0.1855078306
57	0.1832349311
58	0.1813422488
59	0.1804401964
60	0.178618792
61	0.1766702672
62	0.1755088223
63	0.1735324202
64	0.1731370693
65	0.1725559222
66	0.1700539152
67	0.168313774
68	0.1676195526
69	0.1672968843
70	0.1649708525
71	0.1639482402
72	0.163063627
73	0.1608614537
74	0.1592076491
75	0.1579576561
76	0.15638932
77	0.153911436
78	0.1527086598
79	0.1518998595
80	0.1509357702
81	0.1495840449
82	0.1471484565
83	0.1449998228
84	0.143025346
85	0.1422091959
86	0.1421692782
87	0.1409437464
88	0.1400242947
89	0.1382886392
90	0.1367946025
91	0.1361972219
92	0.1346274244
93	0.1341791153
94	0.1332879363
95	0.131552371
96	0.1310883192
97	0.1287478995
98	0.1284976456
99	0.1263530818
