iter	Logloss
0	0.5062777306
1	0.4286576847
2	0.3695532411
3	0.3406342842
4	0.3306490831
5	0.3238838799
6	0.3146901211
7	0.3074181457
8	0.3049110242
9	0.3025609465
10	0.3017628738
11	0.2849423152
12	0.278205943
13	0.2769768901
14	0.2656320396
15	0.2621845969
16	0.2600078034
17	0.2591192652
18	0.2588708611
19	0.2550793732
20	0.2547348912
21	0.251689068
22	0.2481935671
23	0.2438722072
24	0.2422623736
25	0.2382940017
26	0.236628031
27	0.2323881167
28	0.2319385452
29	0.2273684842
30	0.2246042335
31	0.2244907236
32	0.2215975095
33	0.2205392127
34	0.2172307373
35	0.2148720271
36	0.212547566
37	0.212126683
38	0.2095679656
39	0.2058226317
40	0.2022307792
41	0.2007156111
42	0.1980297821
43	0.1946530458
44	0.1936543228
45	0.1915099284
46	0.1915037287
47	0.1893185679
48	0.1872808675
49	0.1864434349
50	0.1820594288
51	0.1814761288
52	0.1789588615
53	0.1774939111
54	0.1763601844
55	0.1739598361
56	0.172639223
57	0.1725765621
58	0.1704580845
59	0.1689175332
60	0.1666473708
61	0.1651442333
62	0.1618292867
63	0.1596577361
64	0.1580602703
65	0.1575190262
66	0.1570408592
67	0.1555886896
68	0.1546597664
69	0.153023943
70	0.1507943586
71	0.1480483891
72	0.147027618
73	0.1449686226
74	0.1428914628
75	0.1420509068
76	0.1407742002
77	0.1385473855
78	0.1373472752
79	0.1357917258
80	0.1341111786
81	0.133413842
82	0.1320354717
83	0.1280184116
84	0.1264746496
85	0.1251969386
86	0.1241531312
87	0.1231923656
88	0.1226904705
89	0.1213899436
90	0.1205738388
91	0.1200792576
92	0.1192308117
93	0.1178897962
94	0.1171170142
95	0.1156078843
96	0.1145423318
97	0.1138498229
98	0.1119208373
99	0.1101513017
